Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
465;Jabari Smith Jr.;PF;20;HOU;61;61;32;4.9;10.8;0.45;1.7;4.8;0.36;3.1;6;0.522;0.53;2;2.4;0.821;2;6.6;8.5;1.5;0.8;0.7;1.2;2.7;13.4
466;Jalen Smith;C;23;IND;47;13;17.7;4;6.6;0.617;1.1;2.4;0.442;3;4.1;0.718;0.698;1.2;1.8;0.69;1.6;3.9;5.6;1.1;0.2;0.6;0.8;2.1;10.4
467;Nick Smith Jr.;SG;19;CHO;41;0;15.2;2.2;5.7;0.393;1.2;2.9;0.429;1;2.8;0.357;0.502;0.3;0.3;0.846;0.4;1;1.4;1.2;0.2;0.2;0.8;1.3;6
468;Terquavion Smith;PG;21;PHI;12;0;5.8;1.3;3.3;0.4;1;2.6;0.387;0.3;0.8;0.444;0.55;0.2;0.3;0.667;0;0.2;0.2;0.8;0.6;0;0.3;0.3;3.8
469;Jeremy Sochan;PF;20;SAS;67;66;29.6;4.6;10.4;0.446;1;2.9;0.33;3.7;7.5;0.491;0.492;1.5;1.9;0.775;1.8;4.4;6.2;3.4;0.8;0.5;1.9;2.4;11.7
470;Pat Spencer;PG;27;GSW;2;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0
471;Jaden Springer;SG-PG;21;TOT;40;1;10;1.2;3.2;0.381;0.2;1;0.205;1;2.2;0.46;0.413;0.7;0.9;0.824;0.7;0.9;1.6;0.9;0.7;0.3;0.7;1.3;3.3
471;Jaden Springer;SG;21;PHI;32;1;11.8;1.4;3.7;0.39;0.3;1.2;0.216;1.2;2.5;0.469;0.424;0.9;1.1;0.824;0.8;1;1.8;1.1;0.8;0.3;0.8;1.5;4
471;Jaden Springer;PG;21;BOS;8;0;2.8;0.3;1;0.25;0;0.3;0;0.3;0.8;0.333;0.25;0;0;0;0.4;0.1;0.5;0.1;0.1;0;0.1;0.4;0.5
472;Lamar Stevens;PF;26;TOT;31;2;12.3;2.5;5.2;0.475;0.3;0.8;0.4;2.1;4.4;0.489;0.506;0.8;1.1;0.743;0.8;2.1;2.9;0.5;0.4;0.5;0.7;1.2;6.1
472;Lamar Stevens;PF;26;BOS;19;1;6.4;1.1;2.4;0.467;0.2;0.4;0.375;0.9;1.9;0.486;0.5;0.4;0.6;0.727;0.6;1;1.6;0.4;0.3;0.3;0.5;0.7;2.8
472;Lamar Stevens;PF;26;MEM;12;1;21.7;4.6;9.6;0.478;0.6;1.4;0.412;4;8.2;0.49;0.509;1.5;2;0.75;1.2;3.8;4.9;0.7;0.6;0.9;1.2;1.8;11.3
473;Isaiah Stewart;PF;22;DET;44;43;31.1;4.1;8.4;0.484;1.5;3.8;0.381;2.6;4.6;0.569;0.57;1.5;1.9;0.753;1.6;5;6.7;1.6;0.4;0.8;1.5;2.3;11
474;Julian Strawther;SF;21;DEN;41;0;12.1;1.8;4.9;0.375;0.9;3;0.304;0.9;1.8;0.493;0.47;0.4;0.6;0.72;0.1;1.2;1.3;1;0.4;0.2;0.4;1.2;5
475;Max Strus;SF;27;CLE;60;60;32.2;4.4;10.6;0.412;2.4;7.1;0.34;2;3.6;0.553;0.525;1;1.3;0.785;0.9;3.9;4.7;3.8;0.9;0.5;1.5;2.6;12.2
476;Jalen Suggs;SG;22;ORL;60;60;26.7;4.4;9.6;0.463;2.1;5.3;0.397;2.3;4.3;0.543;0.572;1.4;1.8;0.752;0.7;2.6;3.2;2.6;1.4;0.6;1.9;2.8;12.3
477;Cole Swider;SF;24;MIA;11;0;5;0.8;2.3;0.36;0.5;1.7;0.263;0.4;0.5;0.667;0.46;0.2;0.2;1;0.1;0.3;0.4;0.4;0.1;0.1;0.5;0.2;2.3
478;Jae'Sean Tate;SF;28;HOU;56;9;16.8;1.7;3.6;0.466;0.4;1.2;0.304;1.3;2.4;0.548;0.517;0.4;0.6;0.667;1;2.3;3.2;1;0.7;0.2;0.5;2.2;4.2
479;Jayson Tatum;PF;25;BOS;63;63;35.8;9.2;19.4;0.474;3.1;8.3;0.376;6.1;11.1;0.547;0.555;5.5;6.6;0.829;0.9;7.4;8.3;4.9;1;0.6;2.5;2;27
480;Terry Taylor;PF;24;CHI;26;0;6.6;0.7;1.4;0.5;0.1;0.3;0.222;0.6;1;0.593;0.528;0.1;0.1;0.667;0.6;0.7;1.3;0.3;0.2;0.1;0.3;0.6;1.5
481;Garrett Temple;SG;37;TOR;16;0;4.3;0.5;1.3;0.381;0.1;0.6;0.222;0.4;0.8;0.5;0.429;0.3;0.4;0.833;0.3;0.4;0.7;0.4;0.2;0;0.3;0.4;1.4
482;Dalen Terry;SG;21;CHI;44;1;9.8;0.8;2.1;0.398;0.3;1.1;0.224;0.6;1;0.591;0.457;0.4;0.7;0.633;0.4;1.2;1.6;1.2;0.4;0.2;0.5;1.2;2.4
483;Daniel Theis;C;31;TOT;51;3;16.9;2.6;4.8;0.53;0.4;1.1;0.357;2.2;3.7;0.581;0.571;0.6;0.9;0.727;1.4;2.5;3.9;1;0.4;0.8;0.7;2.2;6.2
483;Daniel Theis;C;31;IND;1;0;8;1;4;0.25;0;1;0;1;3;0.333;0.25;0;0;0;0;0;0;0;0;0;0;1;2
483;Daniel Theis;C;31;LAC;50;3;17.1;2.6;4.9;0.535;0.4;1.1;0.364;2.2;3.8;0.585;0.576;0.6;0.9;0.727;1.5;2.5;4;1;0.4;0.9;0.7;2.2;6.2
484;Cam Thomas;SG;22;BRK;51;36;30;7.7;17.5;0.44;2.1;5.6;0.372;5.6;11.8;0.473;0.501;3.8;4.5;0.832;0.4;2.6;3;2.7;0.7;0.2;1.8;2.1;21.3
485;Amen Thompson;SF;21;HOU;47;8;19.9;3.3;6.3;0.52;0.2;1.1;0.157;3.1;5.3;0.595;0.534;1.4;2.1;0.66;1.8;3.9;5.7;2.3;1.2;0.7;1.4;2.3;8.1
486;Ausar Thompson;SF;21;DET;63;38;25.1;3.7;7.6;0.483;0.3;1.8;0.186;3.3;5.8;0.575;0.505;1.1;1.9;0.597;2;4.3;6.4;1.9;1.1;0.9;1.3;2.8;8.8
487;Klay Thompson;SF;33;GSW;62;53;29.6;6;14.4;0.419;3.3;8.7;0.38;2.7;5.7;0.479;0.534;1.7;1.8;0.912;0.5;2.9;3.4;2.1;0.6;0.5;1.5;1.7;17
488;Tristan Thompson;C;32;CLE;36;0;12.4;1.7;2.6;0.649;0;0;0;1.7;2.6;0.656;0.649;0.4;1.2;0.31;1.6;2.3;3.9;1.1;0.2;0.3;0.6;1.4;3.8
489;JT Thor;PF;21;CHO;51;1;12.4;1.1;3;0.377;0.4;1.3;0.328;0.7;1.6;0.417;0.45;0.1;0.3;0.538;0.8;1.5;2.3;0.4;0.2;0.4;0.3;0.9;2.8
490;Matisse Thybulle;SF;26;POR;63;19;23.4;2;5;0.401;1.3;3.6;0.351;0.7;1.4;0.535;0.529;0.3;0.5;0.759;0.5;1.7;2.1;1.4;1.8;0.8;0.6;1.5;5.6
491;Xavier Tillman Sr.;C-PF;25;TOT;40;13;19.8;2.5;5.8;0.427;0.4;1.5;0.25;2.1;4.3;0.488;0.459;0.5;1.1;0.444;1.6;2.9;4.5;1.6;1.1;1;0.7;1.7;5.8
491;Xavier Tillman Sr.;C;25;MEM;34;13;20.6;2.6;6.3;0.408;0.4;1.6;0.226;2.2;4.7;0.469;0.437;0.5;1.3;0.419;1.6;3;4.6;1.7;1.2;1;0.9;1.8;6
491;Xavier Tillman Sr.;PF;25;BOS;6;0;15.5;2;3.2;0.632;0.5;1.2;0.429;1.5;2;0.75;0.711;0.3;0.3;1;1;2.5;3.5;0.8;0.3;0.5;0;1;4.8
492;Jacob Toppin;SF;23;NYK;9;0;4.2;0.6;1;0.556;0.1;0.4;0.25;0.4;0.6;0.8;0.611;0.2;0.2;1;0.3;0.4;0.8;0.3;0;0.1;0.1;0.3;1.4
493;Obi Toppin;PF;25;IND;67;28;21.8;4;7.2;0.563;1.2;3.1;0.393;2.8;4.1;0.691;0.648;1;1.3;0.747;1;2.9;3.9;1.5;0.5;0.5;0.9;1.8;10.3
494;Juan Toscano-Anderson;SF;30;SAC;11;0;4.8;0.3;1.1;0.25;0.1;0.4;0.25;0.2;0.7;0.25;0.292;0;0;0;0.4;0.9;1.3;0.4;0.1;0.1;0.2;1;0.6
495;Karl-Anthony Towns;PF;28;MIN;60;60;32.8;7.9;15.5;0.506;2.2;5.3;0.423;5.6;10.3;0.55;0.578;4.2;4.8;0.874;1.5;6.9;8.4;3;0.7;0.7;2.8;3.3;22.1
496;Gary Trent Jr.;SG;25;TOR;60;30;27.4;4.7;11;0.424;2.5;6.2;0.409;2.1;4.8;0.444;0.539;0.8;1.1;0.712;0.3;2.2;2.5;1.5;1;0.2;0.7;1.3;12.7
497;Oscar Tshiebwe;PF;24;IND;8;0;5.3;1.3;2.5;0.5;0;0;0;1.3;2.5;0.5;0.5;0.8;1;0.75;1;1;2;0.3;0.3;0.1;0;0.4;3.3
498;P.J. Tucker;PF;38;TOT;20;4;16;0.6;1.6;0.344;0.4;1.3;0.32;0.2;0.4;0.429;0.469;0.2;0.2;1;1.1;1.8;2.8;0.5;0.5;0.4;0.4;2;1.7
498;P.J. Tucker;PF;38;PHI;3;3;22;0.7;1.7;0.4;0.7;1.7;0.4;0;0;0;0.6;0;0;0;0.3;4.3;4.7;0;1;0.7;0.7;3;2
498;P.J. Tucker;PF;38;LAC;17;1;14.9;0.5;1.6;0.333;0.4;1.2;0.3;0.2;0.4;0.429;0.444;0.2;0.2;1;1.2;1.3;2.5;0.6;0.4;0.3;0.3;1.8;1.6
499;Myles Turner;C;27;IND;63;63;27.4;6.3;12;0.525;1.4;4.1;0.345;4.9;7.9;0.618;0.583;3.4;4.3;0.779;1.6;5.5;7;1.3;0.5;1.8;1.5;3.1;17.3
500;Hunter Tyson;PF;23;DEN;11;0;2.9;0.3;1;0.273;0.2;0.8;0.222;0.1;0.2;0.5;0.364;0;0;0;0.1;0.7;0.8;0.1;0;0;0.2;0.6;0.7
501;Stanley Umude;SG;24;DET;21;0;11;1.3;3.1;0.424;1;2;0.488;0.4;1.2;0.32;0.576;1.1;1.2;0.923;0.3;1.7;2;0.4;0.4;0.3;0.6;1.6;4.8
502;Jonas Valan?i?nas;C;31;NOP;66;66;24.7;5.1;9.2;0.558;0.5;1.5;0.353;4.6;7.6;0.599;0.587;2.1;2.6;0.805;2.5;6.9;9.4;2.2;0.4;1;1.4;2.8;12.9
503;Jarred Vanderbilt;PF;24;LAL;29;6;20;2;3.9;0.518;0.3;0.9;0.296;1.8;3;0.586;0.553;0.8;1.2;0.667;1.4;3.3;4.8;1.2;1.2;0.2;1;1.5;5.2
504;Fred VanVleet;PG;29;HOU;59;59;36.8;5.6;13.5;0.416;3;7.8;0.383;2.6;5.6;0.461;0.527;2.7;3.2;0.866;0.4;3.4;3.8;8;1.2;0.8;1.8;2.3;16.9
505;Devin Vassell;SG;23;SAS;61;55;32.6;7.1;15.2;0.469;2.5;6.6;0.384;4.6;8.6;0.533;0.552;2.4;3.1;0.791;0.4;3.4;3.9;3.9;1;0.4;1.6;1;19.2
506;Sasha Vezenkov;PF;28;SAC;35;0;12.6;2.1;4.7;0.448;1.1;2.9;0.38;1;1.9;0.554;0.564;0.3;0.4;0.769;0.9;1.6;2.5;0.4;0.5;0.2;0.3;1;5.6
507;Gabe Vincent;PG;27;LAL;5;0;25.4;2.4;6.4;0.375;0.4;3.4;0.118;2;3;0.667;0.406;0.2;0.4;0.5;0.4;0.6;1;3;1.2;0;0.4;2.4;5.4
508;Nikola Vu?evi?;C;33;CHI;62;60;34.5;7.7;16.3;0.476;1.2;4.2;0.284;6.5;12;0.544;0.513;1.3;1.5;0.844;2.8;7.8;10.6;3.3;0.7;0.8;1.6;2.6;18
509;Dean Wade;PF;27;CLE;54;32;20.5;1.8;4.3;0.414;1.5;3.7;0.391;0.3;0.6;0.567;0.584;0.4;0.5;0.769;0.7;3.4;4;0.8;0.7;0.5;0.4;1.7;5.4
510;Franz Wagner;SF;22;ORL;59;59;32.9;7.5;15.6;0.477;1.4;4.8;0.294;6;10.8;0.56;0.523;3.7;4.4;0.844;1;4.5;5.5;3.9;1.1;0.4;2.1;2.3;20
511;Moritz Wagner;C;26;ORL;65;1;18.1;4.2;7;0.593;0.5;1.4;0.319;3.7;5.6;0.665;0.626;2.2;2.7;0.803;1.5;3;4.5;1.2;0.5;0.3;1.2;2.1;11
512;Ish Wainright;SF;29;TOT;8;0;7.1;0.9;3;0.292;0.9;2.5;0.35;0;0.5;0;0.438;0.3;0.3;1;0.4;1.4;1.8;0.1;0.4;0.1;0.3;0.6;2.9
512;Ish Wainright;SF;29;POR;7;0;6.6;0.9;2.6;0.333;0.9;2.3;0.375;0;0.3;0;0.5;0.3;0.3;1;0;1.3;1.3;0;0.3;0.1;0.1;0.6;2.9
512;Ish Wainright;SF;29;PHO;1;0;11;1;6;0.167;1;4;0.25;0;2;0;0.25;0;0;0;3;2;5;1;1;0;1;1;3
513;Jabari Walker;SF;21;POR;57;15;22.1;3.1;6.7;0.469;0.5;1.9;0.264;2.6;4.8;0.547;0.505;1.7;2.2;0.768;2;4.4;6.5;0.9;0.6;0.4;0.9;2.3;8.5
514;Jarace Walker;PF;20;IND;25;0;10.3;1.4;3.6;0.404;0.7;1.8;0.391;0.7;1.7;0.419;0.506;0.3;0.4;0.889;0.4;1.5;2;1.1;0.5;0.4;0.5;0.9;3.9
515;Lonnie Walker IV;SG;25;BRK;45;0;18;4;9;0.446;2.1;5;0.422;1.9;4;0.475;0.562;0.9;1.2;0.774;0.2;1.9;2.1;1.4;0.6;0.3;1;1.4;11
516;Cason Wallace;SG;20;OKC;66;9;20.4;2.6;5.2;0.506;1.2;2.8;0.426;1.4;2.4;0.603;0.622;0.3;0.4;0.793;0.6;1.6;2.2;1.4;0.8;0.5;0.5;1.6;6.8
517;Jordan Walsh;SF;19;BOS;4;0;8.3;0.3;1.3;0.2;0;0.8;0;0.3;0.5;0.5;0.2;0;0;0;0.5;2.3;2.8;0.5;0.5;0.3;0.5;1.3;0.5
518;T.J. Warren;SF;30;MIN;4;0;16;2.3;4.8;0.474;0.3;1.8;0.143;2;3;0.667;0.5;0;0;0;0.5;1.5;2;0.8;0.3;0;0.8;2;4.8
519;P.J. Washington;PF;25;TOT;59;31;29.8;4.9;11.1;0.44;1.7;5.5;0.309;3.2;5.6;0.57;0.517;1.5;2.1;0.699;1.2;4.1;5.3;2;0.9;0.8;1.4;2.4;13
519;P.J. Washington;PF;25;CHO;44;17;29.2;5.2;11.6;0.446;1.8;5.5;0.324;3.4;6;0.558;0.524;1.5;2.1;0.713;1.2;4.1;5.3;2.2;0.9;0.7;1.5;2.5;13.6
519;P.J. Washington;PF;25;DAL;15;14;31.7;4.1;9.9;0.419;1.5;5.5;0.265;2.7;4.3;0.615;0.493;1.3;1.9;0.655;1.1;4.3;5.4;1.3;1.1;0.9;1.2;1.9;11
520;TyTy Washington Jr.;PG;22;MIL;5;0;4.2;0.2;1.4;0.143;0.2;0.6;0.333;0;0.8;0;0.214;0;0;0;0;0.2;0.2;0.2;0.4;0;0.4;0;0.6
521;Yuta Watanabe;SF;29;TOT;34;0;13.6;1.2;3.4;0.353;0.7;2.5;0.294;0.5;0.9;0.516;0.461;0.3;0.5;0.588;0.3;1.3;1.6;0.4;0.4;0.2;0.6;1.1;3.4
521;Yuta Watanabe;SF;29;PHO;29;0;13.2;1.2;3.3;0.361;0.8;2.6;0.32;0.4;0.8;0.5;0.485;0.3;0.5;0.667;0.4;1.2;1.6;0.3;0.3;0.2;0.6;1.2;3.6
521;Yuta Watanabe;SF;29;MEM;5;0;16.4;1.2;3.8;0.316;0.2;2;0.1;1;1.8;0.556;0.342;0;0.4;0;0;1.8;1.8;1;0.6;0;0.6;1;2.6
522;Lindy Waters III;SG;26;OKC;28;0;6.6;0.9;2.1;0.441;0.9;2;0.436;0.1;0.1;0.5;0.644;0;0;0;0.1;0.9;1;0.5;0.1;0.1;0.2;0.6;2.7
523;Trendon Watford;PF;23;BRK;48;0;11.3;2.2;4.2;0.53;0.3;0.9;0.357;1.9;3.3;0.576;0.568;0.9;1.1;0.882;0.8;1.8;2.6;1.1;0.3;0.3;0.7;1.5;5.7
524;Peyton Watson;SF;21;DEN;65;4;18.4;2.7;5.7;0.47;0.6;2.1;0.309;2;3.6;0.564;0.527;0.9;1.4;0.67;0.6;2.3;3;1;0.5;1;0.7;1.7;6.9
525;Victor Wembanyama;C;20;SAS;59;59;28.9;7.5;16.1;0.465;1.7;5.1;0.331;5.8;11;0.528;0.518;3.9;4.9;0.806;2.2;8.1;10.3;3.4;1.3;3.4;3.4;2.2;20.6
526;Blake Wesley;SG;20;SAS;46;1;13.4;1.7;3.3;0.507;0.1;0.7;0.147;1.5;2.5;0.612;0.523;0.8;1.2;0.661;0.3;1;1.3;2.7;0.5;0.2;0.7;1.5;4.2
527;Russell Westbrook;PG;35;LAC;58;10;22.6;4.4;9.8;0.452;0.6;2.4;0.268;3.8;7.4;0.51;0.484;1.6;2.3;0.677;1.4;3.7;5.1;4.4;1.1;0.4;2;1.8;11.1
528;Coby White;PG;23;CHI;66;66;36.7;6.9;15.3;0.452;2.8;7.3;0.388;4.1;8;0.51;0.544;2.8;3.4;0.839;0.6;4.1;4.7;5.2;0.7;0.2;2.2;2.4;19.5
529;Derrick White;SG;29;BOS;62;62;32.3;5.3;11.4;0.466;2.6;6.5;0.4;2.7;4.9;0.555;0.581;1.9;2.1;0.899;0.7;3.5;4.1;5;1;1.3;1.6;2.1;15.1
530;Cam Whitmore;SF;19;HOU;38;1;17.8;4.5;9.6;0.464;1.6;4.4;0.361;2.9;5.2;0.553;0.548;1.6;2.3;0.67;0.9;3;3.9;0.5;0.6;0.3;0.9;1.3;12.1
531;Aaron Wiggins;SG;25;OKC;63;0;14.5;2.4;4.2;0.568;0.7;1.6;0.48;1.7;2.7;0.619;0.656;0.6;0.8;0.771;0.8;1.5;2.3;0.9;0.6;0.2;0.6;1.1;6.1
532;Andrew Wiggins;SF;28;GSW;56;44;26.8;4.8;10.5;0.456;1.1;3.3;0.352;3.7;7.3;0.502;0.51;1.8;2.5;0.736;1.5;2.7;4.2;1.7;0.6;0.5;1.2;2.1;12.6
533;Lindell Wigginton;PG;25;MIL;3;0;2.7;0.7;1.7;0.4;0;0.7;0;0.7;1;0.667;0.4;0.7;0.7;1;0;0;0;0;0;0;0.3;0.3;2
534;Alondes Williams;SG;24;MIA;2;0;4.5;0;1.5;0;0;1;0;0;0.5;0;0;0;0;0;0;0.5;0.5;0;0;0;0.5;0;0
535;Brandon Williams;PG;24;DAL;12;0;4.9;0.7;1.8;0.364;0.2;0.5;0.333;0.5;1.3;0.375;0.409;0.5;0.9;0.545;0.3;0.3;0.6;1;0.1;0.1;0.3;0.2;2
536;Grant Williams;PF;25;TOT;63;37;27.5;3.3;7.6;0.437;1.7;4.5;0.371;1.6;3.1;0.534;0.547;1.4;1.8;0.775;1.1;2.9;4;1.9;0.6;0.5;1.4;2.9;9.6
536;Grant Williams;PF;25;DAL;47;33;26.4;2.8;6.7;0.413;1.7;4.5;0.376;1.1;2.3;0.486;0.538;0.9;1.2;0.745;1;2.6;3.6;1.7;0.5;0.6;1.1;2.9;8.1
536;Grant Williams;PF;25;CHO;16;4;30.8;4.8;9.9;0.484;1.6;4.6;0.356;3.2;5.4;0.593;0.566;2.8;3.5;0.804;1.4;3.9;5.3;2.4;0.8;0.4;2.3;2.8;14.1
537;Jalen Williams;PF;22;OKC;59;59;31.6;7.5;13.9;0.538;1.5;3.4;0.45;6;10.5;0.567;0.594;2.6;3.2;0.819;0.5;3.5;4;4.5;1.1;0.6;1.7;2.6;19.2
538;Jaylin Williams;C;21;OKC;54;0;12.5;1.3;3.2;0.4;0.8;2.1;0.366;0.5;1.2;0.46;0.517;0.4;0.5;0.821;0.5;2.7;3.2;1.3;0.4;0.4;0.4;1.4;3.8
539;Jeenathan Williams;SG;24;HOU;13;0;6.2;1.1;2.3;0.467;0.1;0.2;0.333;1;2.1;0.481;0.483;0.5;0.7;0.667;0.7;0.3;1;0.5;0.2;0;0.2;0.7;2.7
540;Kenrich Williams;PF;29;OKC;54;1;14.1;1.6;3.6;0.449;0.8;2;0.387;0.9;1.7;0.522;0.554;0.1;0.2;0.3;0.8;2.1;2.9;1.2;0.5;0.1;0.4;1.4;4.1
541;Mark Williams;C;22;CHO;19;19;26.7;5.2;7.9;0.649;0;0;0;5.2;7.9;0.649;0.649;2.4;3.4;0.719;4;5.7;9.7;1.2;0.8;1.1;0.9;2.6;12.7
542;Patrick Williams;PF;22;CHI;43;30;27.3;3.7;8.3;0.443;1.4;3.4;0.399;2.3;4.9;0.474;0.525;1.2;1.5;0.788;1.1;2.8;3.9;1.5;0.9;0.8;1.3;2;10
543;Robert Williams;C;26;POR;6;0;19.8;2.8;4.3;0.654;0;0;0;2.8;4.3;0.654;0.654;1.2;1.5;0.778;1.8;4.5;6.3;0.8;1.2;1.2;1.2;2.8;6.8
544;Vince Williams Jr.;SG;23;MEM;52;33;27.6;3.3;7.3;0.446;1.5;4;0.378;1.7;3.3;0.529;0.55;2;2.5;0.8;1.1;4.4;5.6;3.4;0.9;0.7;1.8;2.6;10
545;Ziaire Williams;SF;22;MEM;51;15;20.4;2.9;7.4;0.397;1.1;3.7;0.307;1.8;3.7;0.487;0.474;1.2;1.5;0.827;0.7;2.8;3.5;1.5;0.7;0.2;1.3;1.7;8.2
546;Zion Williamson;PF;23;NOP;55;55;30.9;8.9;15.3;0.58;0.1;0.3;0.357;8.8;15;0.584;0.583;4.7;6.8;0.694;1.8;3.9;5.7;5.1;0.9;0.6;2.5;2.2;22.5
547;Jalen Wilson;PF;23;BRK;28;1;14.6;1.6;3.8;0.411;0.6;1.6;0.348;1;2.2;0.459;0.486;0.9;1;0.889;1.1;1.5;2.7;1.1;0.3;0;0.4;1.1;4.6
548;Dylan Windler;SF;27;TOT;12;0;3.3;0.4;0.9;0.455;0.4;0.8;0.5;0;0.1;0;0.682;0;0;0;0;0.4;0.4;0.6;0;0;0;0.3;1.3
548;Dylan Windler;SF;27;NYK;3;0;2.3;0.3;0.7;0.5;0.3;0.7;0.5;0;0;0;0.75;0;0;0;0;0.3;0.3;0.3;0;0;0;0.3;1
548;Dylan Windler;SF;27;LAL;8;0;3.5;0.5;1.1;0.444;0.5;1;0.5;0;0.1;0;0.667;0;0;0;0;0.4;0.4;0.8;0;0;0;0.3;1.5
548;Dylan Windler;SF;27;ATL;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0
549;James Wiseman;C;22;DET;47;0;14.8;2.7;4.1;0.665;0;0;0;2.7;4.1;0.672;0.665;0.8;1.2;0.632;1.6;3;4.6;0.7;0.2;0.6;0.8;2.1;6.3
550;Christian Wood;PF;28;LAL;50;1;17.4;2.5;5.3;0.466;0.7;2.3;0.307;1.8;3;0.587;0.532;1.3;1.9;0.702;0.8;4.3;5.1;1;0.3;0.7;1;1.4;6.9
551;Delon Wright;PG;31;TOT;36;1;14.2;1.4;3.6;0.397;0.4;1.2;0.381;1;2.5;0.404;0.458;0.8;1;0.829;0.4;1.4;1.8;2.5;1.1;0.3;0.3;0.6;4.1
551;Delon Wright;PG;31;WAS;33;0;13.8;1.5;3.7;0.393;0.4;1.2;0.368;1;2.5;0.405;0.451;0.7;0.9;0.828;0.4;1.4;1.8;2.5;1.1;0.2;0.3;0.7;4.1
551;Delon Wright;PG;31;MIA;3;1;18.7;1.3;3;0.444;0.7;1.3;0.5;0.7;1.7;0.4;0.556;1.7;2;0.833;0.3;1;1.3;3;1;0.3;0;0.3;5
552;Thaddeus Young;PF;35;TOT;26;6;14.7;2.2;3.6;0.617;0;0.2;0.167;2.2;3.4;0.648;0.622;0.2;0.5;0.357;1.4;1.9;3.3;2;0.7;0.1;0.5;1.6;4.7
552;Thaddeus Young;PF;35;TOR;23;6;15.2;2.3;3.8;0.621;0;0.3;0.167;2.3;3.5;0.654;0.626;0.2;0.5;0.417;1.3;2;3.3;2.2;0.8;0.1;0.5;1.7;5
552;Thaddeus Young;PF;35;PHO;3;0;10.7;1.3;2.3;0.571;0;0;0;1.3;2.3;0.571;0.571;0;0.7;0;2.7;1;3.7;0.3;0.3;0;0.3;1.3;2.7
553;Trae Young;PG;25;ATL;51;51;36.5;8.2;19.3;0.426;3.3;8.9;0.371;4.9;10.3;0.473;0.512;6.6;7.8;0.856;0.4;2.3;2.7;10.8;1.4;0.2;4.3;2.1;26.4
554;Omer Yurtseven;C;25;UTA;35;6;9.1;1.4;2.7;0.521;0.1;0.5;0.235;1.3;2.2;0.584;0.543;0.2;0.4;0.533;1.3;2.3;3.6;0.5;0.1;0.4;0.7;1.1;3.1
555;Cody Zeller;C;31;NOP;39;0;7.7;0.6;1.5;0.417;0;0.1;0.333;0.6;1.5;0.421;0.425;0.6;0.9;0.611;1.2;1.6;2.7;0.9;0.2;0.1;0.4;1.1;1.9
556;Ivica Zubac;C;26;LAC;54;54;26.4;4.9;7.5;0.653;0;0;0;4.9;7.5;0.653;0.653;1.7;2.5;0.687;2.9;6.2;9.2;1.4;0.2;1.2;1.2;2.7;11.5
